,Process,Tag
165,skate.™,Game
166,valheim,Game
167,Obsidian-18.04.2025 1,Journaling
168,Obsidian-2025-05-14 1,Journaling
169,Obsidian-2025-05-18 1,Journaling
170,Obsidian-2025-05-1§,Journaling
171,Obsidian-2025-05-21 1,Journaling
172,Obsidian-2025-05-21 1 1,Journaling
173,Obsidian-29.04.2025 1,Journaling
174,Obsidian-DailyNotes,Journaling
175,Obsidian-Goals,Journaling
176,Obsidian-Habit Tracker,Journaling
177,Obsidian-Journal,Journaling
178,Obsidian-Obsidian,Journaling
179,Obsidian-Save As,Journaling
180,Obsidian-canva,Journaling
181,Obsidian-obsidian,Journaling
182,Adobe Acrobat,Main
183,Calculator,Main
184,Cisco Secure Client,Main
185,Console1,Main
186,Element,Main
187,GCC,Main
188,GitHub Desktop,Main
189,Microsoft 365 and Office,Main
190,Microsoft Excel,Main
191,Microsoft OneNote,Main
192,Microsoft PowerPoint,Main
193,Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34438,Main
194,Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211,Main
195,Microsoft Visual Studio Community,Main
196,Microsoft Word,Main
197,Microsoft® Visual Studio®,Main
198,Miniconda3 py312_25.1.1-2 (64-bit),Main
199,Nsight,Main
200,Obsidian-2D_accuracy,Main
201,Obsidian-Automatic_Job_Applier,Main
202,Obsidian-Biography,Main
203,Obsidian-Comp Multiplayer FPS Template,Main
204,Obsidian-Design1,Main
205,Obsidian-DesignBase,Main
206,Obsidian-Ending,Main
207,Obsidian-Experiments,Main
208,Obsidian-Gateway,Main
209,Obsidian-Interview_Prep,Main
210,Obsidian-Islam_Front,Main
211,Obsidian-L01 – Introduction to Data Science,Main
212,Obsidian-L02 – Linear Regression,Main
213,Obsidian-LiteratureReview,Main
214,Obsidian-Method,Main
215,Obsidian-MethodChapter,Main
216,Obsidian-NAPC,Main
217,Obsidian-NAPC_Previous_Research,Main
218,Obsidian-NAPC_Previous_Research2,Main
219,Obsidian-NathmiDesign,Main
220,Obsidian-Network,Main
221,Obsidian-Pattern_Detection_in_NAPC,Main
222,Obsidian-Previous Research,Main
223,Obsidian-React_Nextjs,Main
224,Obsidian-Tactics,Main
225,Obsidian-Technical Audit of the NeuralAPC Passenger Counting Project,Main
226,Obsidian-Text,Main
227,Obsidian-backside,Main
228,Obsidian-big_picture,Main
229,Obsidian-biography,Main
230,Obsidian-club,Main
231,Obsidian-dataset,Main
232,Obsidian-email_server,Main
233,Obsidian-experiment,Main
234,Obsidian-experiments,Main
235,Obsidian-goneo,Main
236,Obsidian-ionos,Main
237,Obsidian-lighthouse,Main
238,Obsidian-memberCard,Main
239,Obsidian-namecheap-order-183620500,Main
240,Obsidian-palast_logo,Main
241,Obsidian-portfolio,Main
242,Obsidian-preview,Main
243,Obsidian-results,Main
244,Obsidian-sambu_dataset,Main
245,Obsidian-sambu_results,Main
246,Obsidian-table1,Main
247,Obsidian-table2,Main
248,Obsidian-table3,Main
249,Oracle VirtualBox,Main
250,PDFLauncher,Main
251,PDFgear,Main
252,PDFgear                                                     ,Main
253,PuTTY suite,Main
254,Python,Main
255,Slack,Main
256,TeamViewer Full,Main
257,Visual Studio Code                                          ,Main
258,Windows Shell Experience Host,Main
259,Windows Terminal,Main
260,Xodo PDF Reader,Main
261,Xodo PDF Reader Uninstaller,Main
262,Xodo PDF Studio,Main
263,Zoom,Main
264, ,Other
265,00080000000B909C53046AE4,Other
266,AMD AutoUpdate,Other
267,AMD Ryzen Main,Other
268,Add or Remove Snap,Other
269,Advanced System Settings,Other
270,Anytype,Other
271,Application Frame Host,Other
272,AusweisApp,Other
273,Authy Desktop,Other
274,Auto Dark Mode                                              ,Other
275,AutoDarkModeService,Other
276,BC,Other
277,Blacksmith,Other
278,COM Surrogate,Other
279,Camera,Other
280,Check-THXUSBAPOInstalled,Other
281,Cisco AnyConnect Secure Mobility Client,Other
282,Client-Win64-Shipping,Other
283,CrashReporter,Other
284,Create Basic Task Wizard,Other
285,Credential Manager UI Host,Other
286,DaVinci Resolve,Other
287,DaVinci Resolve Installer,Other
288,DaVinci Resolve Welcome,Other
289,Device Manager,Other
290,Device Pairing Application,Other
291,Device Properties,Other
292,Diagnostics Troubleshooting Wizard,Other
293,Disk Management,Other
294,Dragon Center                                             ,Other
295,Driver Easy                                                 ,Other
296,Driver File Details,Other
297,DriverEasy,Other
298,Edit Action,Other
299,Extend Volume Wizard,Other
300,File Picker UI Host,Other
301,GIMP                                                        ,Other
302,Google Chrome,Other
303,HGST HTS541010B7E610 Properties,Other
304,InstallChainer,Other
305,InstallShield                                             ,Other
306,Java(TM) Platform SE 8,Other
307,KRSDKExternal,Other
308,KRWebView,Other
309,Killer Intelligence Center,Other
310,LGHUB,Other
311,Launcher Application,Other
312,LibreOffice,Other
313,Lion-Win64-Shipping,Other
314,LockApp.exe,Other
315,Logitech G HUB Installer,Other
316,Loki-Win64-Shipping,Other
317,MSI Command Center,Other
318,MSI Help Desk,Other
319,MSIBatteryCalibration,Other
320,ManicTime,Other
321,ManicTime,Other
322,Media Player,Other
323,Microsoft Clock,Other
324,Microsoft Edge WebView2,Other
325,Microsoft Get Help,Other
326,Microsoft Help and Support,Other
327,Microsoft Management Console,Other
328,Microsoft OneDrive,Other
329,Microsoft Outlook,Other
330,Microsoft Phone Link,Other
331,Microsoft Store,Other
332,Microsoft.Media.Player,Other
333,Microsoft® Windows® Operating System,Other
334,MinecraftInstaller,Other
335,MiniTool Partition Wizard,Other
336,MiniTool Partition Wizard                                   ,Other
337,NTM Alkindi model v.08,Other
338,NVDisplay.Container,Other
339,NVIDIA App,Other
340,NVIDIA Control Panel,Other
341,NVIDIA GeForce Experience,Other
342,NVIDIA Install Application,Other
343,NVIDIA Package Launcher,Other
344,NVIDIA Share,Other
345,NVIDIA app,Other
346,New Action,Other
347,New Simple Volume Wizard,Other
348,Nextcloud,Other
349,Notepad,Other
350,OBS Studio,Other
351,OBS Studio for Node.JS (Server),Other
352,OBS Updater,Other
353,OWInstaller,Other
354,Obsidian-'-Home,Other
355,Obsidian-2456e2297fdd71b2332f3cfe7c5edca4,Other
356,Obsidian-2XKO,Other
357,Obsidian-Calculite,Other
358,Obsidian-Dictionary,Other
359,Obsidian-Directory,Other
360,Obsidian-Frame 1,Other
361,Obsidian-Graph view,Other
362,Obsidian-Home,Other
363,Obsidian-Main,Other
364,Obsidian-New tab,Other
365,Obsidian-Obsidian Help,Other
366,Obsidian-Open,Other
367,Obsidian-PXL,Other
368,Obsidian-PXL_20250930_213315371.MACRO_FOCUS,Other
369,Obsidian-Pasted image 20250603163701,Other
370,Obsidian-Pasted image 20251006233921,Other
371,Obsidian-Peer-to-Peer Replicator,Other
372,Obsidian-RecordPlayer 1,Other
373,Obsidian-RecordPlayer 2,Other
374,Obsidian-Release Notes 1.11.4,Other
375,Obsidian-Release Notes 1.11.5,Other
376,Obsidian-Release Notes 1.9.14,Other
377,Obsidian-Start Here,Other
378,Obsidian-Tactics 1,Other
379,Obsidian-Tactics Revamp,Other
380,Obsidian-Untitled,Other
381,Obsidian-V1,Other
382,Obsidian-Vault,Other
383,Obsidian-_Home,Other
384,Obsidian-black,Other
385,Obsidian-brain,Other
386,Obsidian-https://export-download.canva.com/C-dJc/DAGzvjC-dJc/39/0/0001-9487605353838703.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQYCGKMUH5AO7UJ26%2F20251004%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20251004T153427Z&X-Amz-Expires=83594&X-Amz-Signature=3d74353afe3c0a34505ef3cbd11f7ebb0b834aaaa4b3ee73a09c5485d947fd13&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27Nathmi%2520Abushedeq.png&response-expires=Sun%2C%2005%20Oct%202025%2014%3A47%3A41%20GMT,Other
387,Obsidian-kirby2,Other
388,Obsidian-main,Other
389,Obsidian-template,Other
390,Open,Other
391,OpenJDK Platform 21.0.3,Other
392,Paint,Other
393,Photos,Other
394,Pick an app,Other
395,REDlauncher,Other
396,Razer Central,Other
397,Razer Installer,Other
398,Razer Synapse,Other
399,Razer Synapse 3,Other
400,Razer Synapse Service Process,Other
401,Razer Updater,Other
402,RazerAppEngine,Other
403,Registry Editor,Other
404,Resource and Performance Monitor,Other
405,Riot Repair Tool,Other
406,Rufus,Other
407,SAMSUNG MZNLN256HMHQ,Other
408,SCM,Other
409,Services,Other
410,Settings,Other
411,Setup Factory Runtime,Other
412,ShellHost,Other
413,SmoothScroll,Other
414,SmoothScroll_Setup.tmp,Other
415,Snipping Tool,Other
416,Spotify,Other
417,Spotify Sleep Mode Stopper,Other
418,StartMenuExperienceHost,Other
419,SteelSeries GG,Other
420,Store Installer,Other
421,Stream Deck,Other
422,Stremio,Other
423,System Configuration Utility,Other
424,Task Manager,Other
425,Task Scheduler,Other
426,TeamViewer,Other
427,TeamViewer_,Other
428,ThemeTool,Other
429,ThemeTool(1),Other
430,Time,Other
431,Time Management 6pm Properties (Local Computer),Other
432,Tk 8.6 for Windows,Other
433,Tor Browser,Other
434,TreeSize Free,Other
435,TreeSize Free                                               ,Other
436,USB 2.0 Webcam Device Properties,Other
437,Un_A,Other
438,UniversalInstaller.exe,Other
439,Update,Other
440,Update Drivers,Other
441,VC_redist.x64,Other
442,VC_redist.x86,Other
443,VLC media player,Other
444,Voice access,Other
445,VoiceMeeter Banana,Other
446,VoicemeeterProSetup,Other
447,WinMerge,Other
448,WinMerge-2.16.50.2-x64-Setup.tmp,Other
449,WinRAR,Other
450,Windows Command Processor,Other
451,Windows Defender Firewall with Advanced Security,Other
452,Windows Explorer,Other
453,Windows Font Viewer,Other
454,Windows Installer - Unicode,Other
455,Windows Media Player,Other
456,Windows PowerShell,Other
457,Windows Problem Reporting,Other
458,Windows Security,Other
459,Windows Security notification icon,Other
460,Windows Shutdown and Annotation Tool,Other
461,Windows Start Experience Host,Other
462,Windows Subsystem for Linux,Other
463,Windows host process (Rundll32),Other
464,Xmind,Other
465,_iu14D2N.tmp,Other
466,cmd,Other
467,cr_full_win32,Other
468,csrss,Other
469,dwm,Other
470,experience,Other
471,git-credential-manager,Other
472,install-tl-windows,Other
473,installer,Other
474,irsetup,Other
475,latest-updater,Other
476,lghub_software_manager,Other
477,mintty,Other
478,project8,Other
479,qemu-system-x86_64,Other
480,setup,Other
481,start_protected_game,Other
482,stremio,Other
483,vc_redist.x64,Other
484,vcredist_x64,Other
485,vcredist_x86,Other
486,vlc-3.0.20-win64,Other
487,witness64_d3d11,Other
488,2DSpaceShooter,Side Project
489,Android Device Manager,Side Project
490,Blender,Side Project
491,CameraSurveyProgram,Side Project
492,CardViewDemo,Side Project
493,CarouselViewDemos,Side Project
494,CollectionViewDemos,Side Project
495,Digital Photo Professional 4,Side Project
496,GNU Image Manipulation Program,Side Project
497,Godot Engine,Side Project
498,GraphicsViewDemos,Side Project
499,MMGA Server,Side Project
500,Obsidian-Australia,Side Project
501,Obsidian-Berliner Mietspiegel,Side Project
502,Obsidian-Berliner Mietspiegel updated,Side Project
503,Obsidian-Bow-Tie,Side Project
504,Obsidian-CV_Mohamed_Matar,Side Project
505,Obsidian-CV_Mohamed_Matar 1,Side Project
506,Obsidian-Camera,Side Project
507,Obsidian-Comp_Multiplayer_FPS_Template,Side Project
508,Obsidian-Flights,Side Project
509,Obsidian-Group 13(3),Side Project
510,Obsidian-Group 17(1),Side Project
511,Obsidian-Group 8,Side Project
512,Obsidian-Heart,Side Project
513,Obsidian-Jobsuche,Side Project
514,Obsidian-Miete,Side Project
515,Obsidian-Mieterhöhung_Matar,Side Project
516,Obsidian-OracleServer,Side Project
517,Obsidian-PXL_20250930_213309840.MACRO_FOCUS,Side Project
518,Obsidian-Phone,Side Project
519,Obsidian-PictureShowcaser,Side Project
520,Obsidian-PictureShowcaser 1,Side Project
521,Obsidian-QWQ,Side Project
522,Obsidian-RecordPlayer,Side Project
523,Obsidian-Report Tool,Side Project
524,Obsidian-Report_Tool,Side Project
525,Obsidian-WHEE_front,Side Project
526,Obsidian-controller,Side Project
527,Obsidian-knifeNecklace,Side Project
528,Obsidian-mietspiegel2021,Side Project
529,Obsidian-swordNecklace,Side Project
530,Obsidian-whee,Side Project
531,OpenJDK Platform 17.0.8,Side Project
532,PhotoPuzzle,Side Project
533,PinchGesture,Side Project
534,Postman,Side Project
535,Ruby Game Scripting System,Side Project
536,Unity,Side Project
537,Unity Hub,Side Project
538,Visual Studio,Side Project
539,app,Side Project
540,Discord,Social
