,Process,Tag
163,Obsidian-29.04.2025 1,Journaling
164,Obsidian-DailyNotes,Journaling
165,Obsidian-Goals,Journaling
166,Obsidian-Habit Tracker,Journaling
167,Obsidian-Journal,Journaling
168,Obsidian-Obsidian,Journaling
169,Obsidian-Save As,Journaling
170,Obsidian-canva,Journaling
171,Obsidian-obsidian,Journaling
172,Adobe Acrobat,Main
173,Calculator,Main
174,Cisco Secure Client,Main
175,Console1,Main
176,Element,Main
177,GCC,Main
178,GitHub Desktop,Main
179,Microsoft 365 and Office,Main
180,Microsoft Excel,Main
181,Microsoft OneNote,Main
182,Microsoft PowerPoint,Main
183,Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34438,Main
184,Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211,Main
185,Microsoft Visual Studio Community,Main
186,Microsoft Word,Main
187,Microsoft® Visual Studio®,Main
188,Miniconda3 py312_25.1.1-2 (64-bit),Main
189,Nsight,Main
190,Obsidian-2D_accuracy,Main
191,Obsidian-Automatic_Job_Applier,Main
192,Obsidian-Biography,Main
193,Obsidian-Comp Multiplayer FPS Template,Main
194,Obsidian-Design1,Main
195,Obsidian-Ending,Main
196,Obsidian-Experiments,Main
197,Obsidian-Gateway,Main
198,Obsidian-Interview_Prep,Main
199,Obsidian-L01 – Introduction to Data Science,Main
200,Obsidian-L02 – Linear Regression,Main
201,Obsidian-LiteratureReview,Main
202,Obsidian-Method,Main
203,Obsidian-MethodChapter,Main
204,Obsidian-NAPC,Main
205,Obsidian-NAPC_Previous_Research,Main
206,Obsidian-NAPC_Previous_Research2,Main
207,Obsidian-Network,Main
208,Obsidian-Pattern_Detection_in_NAPC,Main
209,Obsidian-Previous Research,Main
210,Obsidian-React_Nextjs,Main
211,Obsidian-Tactics,Main
212,Obsidian-Technical Audit of the NeuralAPC Passenger Counting Project,Main
213,Obsidian-Text,Main
214,Obsidian-big_picture,Main
215,Obsidian-biography,Main
216,Obsidian-dataset,Main
217,Obsidian-email_server,Main
218,Obsidian-experiment,Main
219,Obsidian-experiments,Main
220,Obsidian-goneo,Main
221,Obsidian-ionos,Main
222,Obsidian-lighthouse,Main
223,Obsidian-namecheap-order-183620500,Main
224,Obsidian-palast_logo,Main
225,Obsidian-portfolio,Main
226,Obsidian-preview,Main
227,Obsidian-results,Main
228,Obsidian-sambu_dataset,Main
229,Obsidian-sambu_results,Main
230,Obsidian-table1,Main
231,Obsidian-table2,Main
232,Obsidian-table3,Main
233,Oracle VirtualBox,Main
234,PDFLauncher,Main
235,PDFgear,Main
236,PDFgear                                                     ,Main
237,PuTTY suite,Main
238,Python,Main
239,Slack,Main
240,TeamViewer Full,Main
241,Visual Studio Code                                          ,Main
242,Windows Shell Experience Host,Main
243,Windows Terminal,Main
244,Xodo PDF Reader,Main
245,Xodo PDF Reader Uninstaller,Main
246,Xodo PDF Studio,Main
247,Zoom,Main
248, ,Other
249,00080000000B909C53046AE4,Other
250,AMD AutoUpdate,Other
251,AMD Ryzen Main,Other
252,Add or Remove Snap,Other
253,Advanced System Settings,Other
254,Anytype,Other
255,Application Frame Host,Other
256,AusweisApp,Other
257,Authy Desktop,Other
258,Auto Dark Mode                                              ,Other
259,AutoDarkModeService,Other
260,BC,Other
261,Blacksmith,Other
262,COM Surrogate,Other
263,Camera,Other
264,Check-THXUSBAPOInstalled,Other
265,Cisco AnyConnect Secure Mobility Client,Other
266,Client-Win64-Shipping,Other
267,CrashReporter,Other
268,Create Basic Task Wizard,Other
269,Credential Manager UI Host,Other
270,DaVinci Resolve,Other
271,DaVinci Resolve Installer,Other
272,DaVinci Resolve Welcome,Other
273,Device Manager,Other
274,Device Pairing Application,Other
275,Device Properties,Other
276,Diagnostics Troubleshooting Wizard,Other
277,Disk Management,Other
278,Dragon Center                                             ,Other
279,Driver Easy                                                 ,Other
280,Driver File Details,Other
281,DriverEasy,Other
282,Edit Action,Other
283,Extend Volume Wizard,Other
284,File Picker UI Host,Other
285,GIMP                                                        ,Other
286,Google Chrome,Other
287,HGST HTS541010B7E610 Properties,Other
288,InstallChainer,Other
289,InstallShield                                             ,Other
290,Java(TM) Platform SE 8,Other
291,KRSDKExternal,Other
292,KRWebView,Other
293,Killer Intelligence Center,Other
294,LGHUB,Other
295,Launcher Application,Other
296,Lion-Win64-Shipping,Other
297,LockApp.exe,Other
298,Logitech G HUB Installer,Other
299,Loki-Win64-Shipping,Other
300,MSI Command Center,Other
301,MSI Help Desk,Other
302,MSIBatteryCalibration,Other
303,ManicTime,Other
304,ManicTime,Other
305,Media Player,Other
306,Microsoft Clock,Other
307,Microsoft Edge WebView2,Other
308,Microsoft Get Help,Other
309,Microsoft Help and Support,Other
310,Microsoft Management Console,Other
311,Microsoft OneDrive,Other
312,Microsoft Outlook,Other
313,Microsoft Phone Link,Other
314,Microsoft Store,Other
315,Microsoft.Media.Player,Other
316,Microsoft® Windows® Operating System,Other
317,MinecraftInstaller,Other
318,MiniTool Partition Wizard,Other
319,MiniTool Partition Wizard                                   ,Other
320,NTM Alkindi model v.08,Other
321,NVDisplay.Container,Other
322,NVIDIA App,Other
323,NVIDIA Control Panel,Other
324,NVIDIA GeForce Experience,Other
325,NVIDIA Install Application,Other
326,NVIDIA Package Launcher,Other
327,NVIDIA app,Other
328,New Action,Other
329,New Simple Volume Wizard,Other
330,Nextcloud,Other
331,Notepad,Other
332,OBS Studio,Other
333,OBS Studio for Node.JS (Server),Other
334,OBS Updater,Other
335,OWInstaller,Other
336,Obsidian-2456e2297fdd71b2332f3cfe7c5edca4,Other
337,Obsidian-2XKO,Other
338,Obsidian-Calculite,Other
339,Obsidian-Dictionary,Other
340,Obsidian-Directory,Other
341,Obsidian-Frame 1,Other
342,Obsidian-Graph view,Other
343,Obsidian-Home,Other
344,Obsidian-Main,Other
345,Obsidian-New tab,Other
346,Obsidian-Obsidian Help,Other
347,Obsidian-Open,Other
348,Obsidian-PXL,Other
349,Obsidian-PXL_20250930_213315371.MACRO_FOCUS,Other
350,Obsidian-Pasted image 20250603163701,Other
351,Obsidian-Pasted image 20251006233921,Other
352,Obsidian-Peer-to-Peer Replicator,Other
353,Obsidian-Release Notes 1.9.14,Other
354,Obsidian-Start Here,Other
355,Obsidian-Untitled,Other
356,Obsidian-Vault,Other
357,Obsidian-black,Other
358,Obsidian-https://export-download.canva.com/C-dJc/DAGzvjC-dJc/39/0/0001-9487605353838703.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQYCGKMUH5AO7UJ26%2F20251004%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20251004T153427Z&X-Amz-Expires=83594&X-Amz-Signature=3d74353afe3c0a34505ef3cbd11f7ebb0b834aaaa4b3ee73a09c5485d947fd13&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27Nathmi%2520Abushedeq.png&response-expires=Sun%2C%2005%20Oct%202025%2014%3A47%3A41%20GMT,Other
359,Obsidian-main,Other
360,Obsidian-template,Other
361,Open,Other
362,OpenJDK Platform 21.0.3,Other
363,Paint,Other
364,Photos,Other
365,Pick an app,Other
366,REDlauncher,Other
367,Razer Central,Other
368,Razer Installer,Other
369,Razer Synapse,Other
370,Razer Synapse 3,Other
371,Razer Synapse Service Process,Other
372,Razer Updater,Other
373,RazerAppEngine,Other
374,Registry Editor,Other
375,Resource and Performance Monitor,Other
376,Riot Repair Tool,Other
377,Rufus,Other
378,SAMSUNG MZNLN256HMHQ,Other
379,SCM,Other
380,Services,Other
381,Settings,Other
382,Setup Factory Runtime,Other
383,ShellHost,Other
384,SmoothScroll,Other
385,SmoothScroll_Setup.tmp,Other
386,Snipping Tool,Other
387,Spotify,Other
388,Spotify Sleep Mode Stopper,Other
389,StartMenuExperienceHost,Other
390,SteelSeries GG,Other
391,Store Installer,Other
392,Stream Deck,Other
393,Stremio,Other
394,System Configuration Utility,Other
395,Task Manager,Other
396,Task Scheduler,Other
397,TeamViewer,Other
398,TeamViewer_,Other
399,ThemeTool,Other
400,ThemeTool(1),Other
401,Time,Other
402,Time Management 6pm Properties (Local Computer),Other
403,Tk 8.6 for Windows,Other
404,Tor Browser,Other
405,TreeSize Free,Other
406,TreeSize Free                                               ,Other
407,USB 2.0 Webcam Device Properties,Other
408,Un_A,Other
409,UniversalInstaller.exe,Other
410,Update,Other
411,Update Drivers,Other
412,VC_redist.x64,Other
413,VC_redist.x86,Other
414,VLC media player,Other
415,Voice access,Other
416,VoiceMeeter Banana,Other
417,VoicemeeterProSetup,Other
418,WinMerge,Other
419,WinMerge-2.16.50.2-x64-Setup.tmp,Other
420,WinRAR,Other
421,Windows Command Processor,Other
422,Windows Explorer,Other
423,Windows Font Viewer,Other
424,Windows Installer - Unicode,Other
425,Windows Media Player,Other
426,Windows PowerShell,Other
427,Windows Problem Reporting,Other
428,Windows Security,Other
429,Windows Security notification icon,Other
430,Windows Shutdown and Annotation Tool,Other
431,Windows Start Experience Host,Other
432,Windows host process (Rundll32),Other
433,Xmind,Other
434,_iu14D2N.tmp,Other
435,cr_full_win32,Other
436,csrss,Other
437,dwm,Other
438,experience,Other
439,git-credential-manager,Other
440,install-tl-windows,Other
441,installer,Other
442,irsetup,Other
443,latest-updater,Other
444,lghub_software_manager,Other
445,mintty,Other
446,project8,Other
447,setup,Other
448,start_protected_game,Other
449,stremio,Other
450,vc_redist.x64,Other
451,vcredist_x64,Other
452,vcredist_x86,Other
453,vlc-3.0.20-win64,Other
454,witness64_d3d11,Other
455,2DSpaceShooter,Side Project
456,Blender,Side Project
457,CameraSurveyProgram,Side Project
458,Digital Photo Professional 4,Side Project
459,Godot Engine,Side Project
460,MMGA Server,Side Project
461,Obsidian-Australia,Side Project
462,Obsidian-Berliner Mietspiegel,Side Project
463,Obsidian-Berliner Mietspiegel updated,Side Project
464,Obsidian-Bow-Tie,Side Project
465,Obsidian-CV_Mohamed_Matar,Side Project
466,Obsidian-CV_Mohamed_Matar 1,Side Project
467,Obsidian-Camera,Side Project
468,Obsidian-Flights,Side Project
469,Obsidian-Group 13(3),Side Project
470,Obsidian-Group 17(1),Side Project
471,Obsidian-Group 8,Side Project
472,Obsidian-Heart,Side Project
473,Obsidian-Jobsuche,Side Project
474,Obsidian-Miete,Side Project
475,Obsidian-Mieterhöhung_Matar,Side Project
476,Obsidian-OracleServer,Side Project
477,Obsidian-PXL_20250930_213309840.MACRO_FOCUS,Side Project
478,Obsidian-Phone,Side Project
479,Obsidian-QWQ,Side Project
480,Obsidian-Report Tool,Side Project
481,Obsidian-Report_Tool,Side Project
482,Obsidian-WHEE_front,Side Project
483,Obsidian-knifeNecklace,Side Project
484,Obsidian-mietspiegel2021,Side Project
485,Obsidian-swordNecklace,Side Project
486,Obsidian-whee,Side Project
487,OpenJDK Platform 17.0.8,Side Project
488,Postman,Side Project
489,Ruby Game Scripting System,Side Project
490,Unity,Side Project
491,Unity Hub,Side Project
492,Visual Studio,Side Project
493,Discord,Social
